Company Location,Company Size,Employee Residence,Employment Type,Experience Level,Job Title,Salary Currency,Work Year,F1,Remote Ratio,Salary,Salary In Usd
DE,Large,DE,Full Time,Intermediate Level,Data Scientist,EUR,2020,0,0,70000,79833
JP,Small,JP,Full Time,Senior Level,Machine Learning Scientist,USD,2020,1,0,260000,260000
GB,Medium,GB,Full Time,Senior Level,Big Data Engineer,GBP,2020,2,50,85000,109024
HN,Small,HN,Full Time,Intermediate Level,Product Data Analyst,USD,2020,3,0,20000,20000
US,Large,US,Full Time,Senior Level,Machine Learning Engineer,USD,2020,4,50,150000,150000
US,Large,US,Full Time,Entry Level,Data Analyst,USD,2020,5,100,72000,72000
US,Small,US,Full Time,Senior Level,Lead Data Scientist,USD,2020,6,100,190000,190000
HU,Large,HU,Full Time,Intermediate Level,Data Scientist,HUF,2020,7,50,11000000,35735
US,Large,US,Full Time,Intermediate Level,Business Data Analyst,USD,2020,8,100,135000,135000
NZ,Small,NZ,Full Time,Senior Level,Lead Data Engineer,USD,2020,9,50,125000,125000
FR,Small,FR,Full Time,Entry Level,Data Scientist,EUR,2020,10,0,45000,51321
IN,Large,IN,Full Time,Intermediate Level,Data Scientist,INR,2020,11,0,3000000,40481
FR,Medium,FR,Full Time,Entry Level,Data Scientist,EUR,2020,12,0,35000,39916
US,Large,US,Full Time,Intermediate Level,Lead Data Analyst,USD,2020,13,100,87000,87000
US,Large,US,Full Time,Intermediate Level,Data Analyst,USD,2020,14,100,85000,85000
PK,Large,PK,Full Time,Intermediate Level,Data Analyst,USD,2020,15,50,8000,8000
JP,Small,JP,Full Time,Entry Level,Data Engineer,JPY,2020,16,100,4450000,41689
GB,Small,PL,Full Time,Senior Level,Big Data Engineer,EUR,2020,17,100,100000,114047
IN,Medium,IN,Full Time,Entry Level,Data Science Consultant,INR,2020,18,50,423000,5707
US,Medium,PT,Full Time,Intermediate Level,Lead Data Engineer,USD,2020,19,100,56000,56000
CN,Medium,CN,Full Time,Intermediate Level,Machine Learning Engineer,CNY,2020,20,0,299000,43331
IN,Large,IN,Full Time,Intermediate Level,Product Data Analyst,INR,2020,21,100,450000,6072
GR,Large,GR,Full Time,Senior Level,Data Engineer,EUR,2020,22,50,42000,47899
US,Medium,US,Full Time,Intermediate Level,BI Data Analyst,USD,2020,23,0,98000,98000
AE,Large,AE,Full Time,Intermediate Level,Lead Data Scientist,USD,2020,24,0,115000,115000
US,Large,US,Full Time,Expert Level,Director of Data Science,USD,2020,25,100,325000,325000
NL,Large,NL,Full Time,Entry Level,Research Scientist,USD,2020,26,50,42000,42000
MX,Small,MX,Full Time,Senior Level,Data Engineer,MXN,2020,27,0,720000,33511
US,Large,US,Contract,Entry Level,Business Data Analyst,USD,2020,28,100,100000,100000
CA,Large,CA,Full Time,Senior Level,Machine Learning Manager,CAD,2020,29,50,157000,117104
DE,Small,DE,Full Time,Intermediate Level,Data Engineering Manager,EUR,2020,30,100,51999,59303
US,Large,US,Full Time,Entry Level,Big Data Engineer,USD,2020,31,100,70000,70000
US,Large,GR,Full Time,Senior Level,Data Scientist,EUR,2020,32,100,60000,68428
US,Medium,US,Full Time,Intermediate Level,Research Scientist,USD,2020,33,0,450000,450000
FR,Large,FR,Full Time,Intermediate Level,Data Analyst,EUR,2020,34,50,41000,46759
AT,Large,AT,Full Time,Intermediate Level,Data Engineer,EUR,2020,35,50,65000,74130
US,Large,US,Full Time,Intermediate Level,Data Science Consultant,USD,2020,36,100,103000,103000
US,Large,US,Full Time,Entry Level,Machine Learning Engineer,USD,2020,37,50,250000,250000
NG,Small,NG,Full Time,Entry Level,Data Analyst,USD,2020,38,100,10000,10000
US,Small,US,Full Time,Entry Level,Machine Learning Engineer,USD,2020,39,100,138000,138000
US,Small,PH,Full Time,Intermediate Level,Data Scientist,USD,2020,40,100,45760,45760
ES,Large,ES,Full Time,Expert Level,Data Engineering Manager,EUR,2020,41,50,70000,79833
PT,Medium,PT,Full Time,Intermediate Level,Machine Learning Infrastructure Engineer,EUR,2020,42,0,44000,50180
US,Large,US,Full Time,Intermediate Level,Data Engineer,USD,2020,43,100,106000,106000
GB,Large,GB,Full Time,Intermediate Level,Data Engineer,GBP,2020,44,50,88000,112872
DE,Small,DE,Part Time,Entry Level,ML Engineer,EUR,2020,45,100,14000,15966
GB,Small,GB,Full Time,Intermediate Level,Data Scientist,GBP,2020,46,100,60000,76958
US,Large,US,Full Time,Senior Level,Data Engineer,USD,2020,47,100,188000,188000
US,Large,US,Full Time,Intermediate Level,Data Scientist,USD,2020,48,100,105000,105000
FR,Large,FR,Full Time,Intermediate Level,Data Engineer,EUR,2020,49,50,61500,70139
IN,Small,IN,Full Time,Entry Level,Data Analyst,INR,2020,50,0,450000,6072
US,Large,US,Full Time,Entry Level,Data Analyst,USD,2020,51,100,91000,91000
DK,Small,DK,Full Time,Entry Level,AI Scientist,DKK,2020,52,50,300000,45896
DE,Large,PK,Full Time,Entry Level,Data Engineer,EUR,2020,53,100,48000,54742
US,Small,RU,Freelance,Senior Level,Computer Vision Engineer,USD,2020,54,100,60000,60000
DE,Medium,DE,Full Time,Senior Level,Principal Data Scientist,EUR,2020,55,100,130000,148261
ES,Medium,ES,Full Time,Intermediate Level,Data Scientist,EUR,2020,56,100,34000,38776
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2020,57,100,118000,118000
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2020,58,50,120000,120000
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2020,59,100,138350,138350
US,Large,US,Full Time,Intermediate Level,Data Engineer,USD,2020,60,100,110000,110000
US,Medium,ES,Full Time,Intermediate Level,Data Engineer,USD,2020,61,100,130800,130800
IT,Small,IT,Part Time,Entry Level,Data Scientist,EUR,2020,62,50,19000,21669
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2020,63,100,412000,412000
HR,Small,HR,Full Time,Senior Level,Machine Learning Engineer,EUR,2020,64,100,40000,45618
DE,Small,DE,Full Time,Entry Level,Data Scientist,EUR,2020,65,50,55000,62726
DE,Small,DE,Full Time,Entry Level,Data Scientist,EUR,2020,66,0,43200,49268
US,Medium,US,Full Time,Senior Level,Data Science Manager,USD,2020,67,100,190200,190200
US,Small,US,Full Time,Entry Level,Data Scientist,USD,2020,68,100,105000,105000
AT,Small,AT,Full Time,Senior Level,Data Scientist,EUR,2020,69,0,80000,91237
LU,Small,FR,Full Time,Intermediate Level,Data Scientist,EUR,2020,70,50,55000,62726
FR,Small,FR,Full Time,Intermediate Level,Data Scientist,EUR,2020,71,50,37000,42197
GB,Large,GB,Full Time,Entry Level,Research Scientist,GBP,2021,72,50,60000,82528
US,Large,IN,Full Time,Expert Level,BI Data Analyst,USD,2021,73,100,150000,150000
US,Large,US,Full Time,Expert Level,Head of Data,USD,2021,74,100,235000,235000
FR,Large,FR,Full Time,Senior Level,Data Scientist,EUR,2021,75,50,45000,53192
US,Medium,US,Full Time,Intermediate Level,BI Data Analyst,USD,2021,76,100,100000,100000
IN,Medium,IN,Part Time,Intermediate Level,3D Computer Vision Researcher,INR,2021,77,50,400000,5409
US,Large,US,Contract,Intermediate Level,ML Engineer,USD,2021,78,100,270000,270000
US,Medium,US,Full Time,Entry Level,Data Analyst,USD,2021,79,100,80000,80000
DE,Large,DE,Full Time,Senior Level,Data Analytics Engineer,EUR,2021,80,100,67000,79197
US,Large,US,Full Time,Intermediate Level,Data Engineer,USD,2021,81,100,140000,140000
CA,Large,GB,Full Time,Intermediate Level,Applied Data Scientist,CAD,2021,82,50,68000,54238
ES,Small,ES,Full Time,Intermediate Level,Machine Learning Engineer,EUR,2021,83,100,40000,47282
PL,Large,IT,Full Time,Expert Level,Director of Data Science,EUR,2021,84,100,130000,153667
PL,Large,PL,Full Time,Intermediate Level,Data Engineer,PLN,2021,85,100,110000,28476
FR,Medium,FR,Full Time,Entry Level,Data Analyst,EUR,2021,86,50,50000,59102
US,Large,US,Full Time,Intermediate Level,Data Analytics Engineer,USD,2021,87,100,110000,110000
US,Large,US,Full Time,Senior Level,Lead Data Analyst,USD,2021,88,100,170000,170000
US,Small,BG,Full Time,Senior Level,Data Analyst,USD,2021,89,100,80000,80000
DK,Large,GR,Full Time,Senior Level,Marketing Data Analyst,EUR,2021,90,100,75000,88654
DE,Small,DE,Full Time,Entry Level,Data Science Consultant,EUR,2021,91,100,65000,76833
IN,Large,IN,Full Time,Intermediate Level,Lead Data Analyst,INR,2021,92,100,1450000,19609
US,Large,US,Full Time,Senior Level,Lead Data Engineer,USD,2021,93,0,276000,276000
IN,Large,IN,Full Time,Entry Level,Data Scientist,INR,2021,94,50,2200000,29751
SG,Large,SG,Full Time,Intermediate Level,Cloud Data Engineer,SGD,2021,95,50,120000,89294
US,Small,BR,Part Time,Entry Level,AI Scientist,USD,2021,96,100,12000,12000
US,Large,US,Full Time,Intermediate Level,Financial Data Analyst,USD,2021,97,100,450000,450000
US,Medium,US,Full Time,Entry Level,Computer Vision Software Engineer,USD,2021,98,100,70000,70000
US,Small,DE,Full Time,Intermediate Level,Computer Vision Software Engineer,EUR,2021,99,100,81000,95746
US,Large,US,Full Time,Intermediate Level,Data Analyst,USD,2021,100,0,75000,75000
US,Large,US,Full Time,Senior Level,Data Engineer,USD,2021,101,100,150000,150000
US,Large,HU,Full Time,Intermediate Level,BI Data Analyst,HUF,2021,102,50,11000000,36259
US,Large,US,Full Time,Intermediate Level,Data Analyst,USD,2021,103,0,62000,62000
US,Large,US,Full Time,Intermediate Level,Data Scientist,USD,2021,104,0,73000,73000
GB,Large,GB,Full Time,Intermediate Level,Data Analyst,GBP,2021,105,50,37456,51519
CA,Large,CA,Full Time,Intermediate Level,Research Scientist,CAD,2021,106,100,235000,187442
US,Small,US,Full Time,Senior Level,Data Engineer,USD,2021,107,100,115000,115000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2021,108,100,150000,150000
IN,Large,IN,Full Time,Entry Level,Data Engineer,INR,2021,109,100,2250000,30428
DE,Large,DE,Full Time,Senior Level,Machine Learning Engineer,EUR,2021,110,50,80000,94564
GB,Medium,GB,Full Time,Senior Level,Director of Data Engineering,GBP,2021,111,100,82500,113476
GB,Small,GB,Full Time,Senior Level,Lead Data Engineer,GBP,2021,112,100,75000,103160
US,Medium,PK,Part Time,Entry Level,AI Scientist,USD,2021,113,100,12000,12000
NL,Large,NL,Full Time,Intermediate Level,Data Engineer,EUR,2021,114,100,38400,45391
US,Large,US,Full Time,Entry Level,Machine Learning Scientist,USD,2021,115,100,225000,225000
